Region,Confirmed,Recovered,Deceased
Afghanistan,1464.0,188.0,47.0
Albania,712.0,403.0,27.0
Algeria,3256.0,1479.0,419.0
Andorra,738.0,344.0,40.0
Angola,25.0,6.0,2.0
Antigua and Barbuda,24.0,11.0,3.0
Argentina,3780.0,1030.0,185.0
Armenia,1677.0,803.0,28.0
Australia,6694.0,5376.0,80.0
Austria,15148.0,12103.0,536.0
Azerbaijan,1617.0,1080.0,21.0
Bahamas,78.0,15.0,11.0
Bahrain,2588.0,1160.0,8.0
Bangladesh,4998.0,113.0,140.0
Barbados,79.0,31.0,6.0
Belarus,9590.0,1573.0,67.0
Belgium,45325.0,10417.0,6917.0
Belize,18.0,5.0,2.0
Benin,54.0,27.0,1.0
Bhutan,7.0,3.0,0.0
Bolivia,866.0,54.0,46.0
Bosnia and Herzegovina,1486.0,592.0,57.0
Botswana,22.0,0.0,1.0
Brazil,59324.0,29160.0,4057.0
Brunei,138.0,121.0,1.0
Bulgaria,1247.0,197.0,55.0
Burkina Faso,629.0,442.0,41.0
Burma,146.0,10.0,5.0
Burundi,11.0,4.0,1.0
Cabo Verde,90.0,1.0,1.0
Cambodia,122.0,117.0,0.0
Cameroon,1518.0,697.0,53.0
Canada,46371.0,16013.0,3217.0
Central African Republic,16.0,10.0,0.0
Chad,46.0,15.0,0.0
Chile,14537.0,6746.0,181.0
China,83909.0,78175.0,4636.0
Colombia,5142.0,1067.0,233.0
Congo (Brazzaville),200.0,19.0,6.0
Congo (Kinshasa),416.0,49.0,28.0
Costa Rica,693.0,242.0,6.0
Cote d'Ivoire,1077.0,419.0,14.0
Croatia,2016.0,1034.0,54.0
Cuba,1337.0,437.0,51.0
Cyprus,810.0,148.0,14.0
Czech Republic,7352.0,2453.0,218.0
Denmark,8643.0,5858.0,418.0
Diamond Princess,712.0,645.0,13.0
Djibouti,1008.0,373.0,2.0
Dominica,16.0,13.0,0.0
Dominican Republic,5926.0,822.0,273.0
Ecuador,22719.0,1366.0,576.0
Egypt,4319.0,1114.0,307.0
El Salvador,274.0,75.0,8.0
Equatorial Guinea,258.0,7.0,1.0
Eritrea,39.0,13.0,0.0
Estonia,1635.0,228.0,46.0
Eswatini,56.0,10.0,1.0
Ethiopia,122.0,29.0,3.0
Fiji,18.0,10.0,0.0
Finland,4475.0,2500.0,186.0
France,161647.0,44594.0,22588.0
Gabon,176.0,30.0,3.0
Gambia,10.0,8.0,1.0
Georgia,456.0,139.0,5.0
Germany,156513.0,109800.0,5877.0
Ghana,1279.0,134.0,10.0
Greece,2506.0,577.0,130.0
Grenada,18.0,7.0,0.0
Guatemala,473.0,45.0,13.0
Guinea,996.0,208.0,7.0
Guinea-Bissau,52.0,3.0,0.0
Guyana,73.0,12.0,7.0
Haiti,72.0,6.0,5.0
Vatican City,9.0,2.0,0.0
Honduras,627.0,65.0,59.0
Hungary,2443.0,458.0,262.0
Iceland,1790.0,1570.0,10.0
India,26283.0,5939.0,825.0
Indonesia,8607.0,1042.0,720.0
Iran,89328.0,68193.0,5650.0
Iraq,1763.0,1224.0,86.0
Ireland,18561.0,9233.0,1063.0
Israel,15302.0,6655.0,202.0
Italy,195351.0,63120.0,26384.0
Jamaica,305.0,28.0,7.0
Japan,13186.0,1656.0,379.0
Jordan,444.0,332.0,7.0
Kazakhstan,2601.0,646.0,25.0
Kenya,343.0,98.0,14.0
South Korea,10728.0,8717.0,242.0
Kosovo,703.0,162.0,19.0
Kuwait,2892.0,656.0,19.0
Kyrgyzstan,665.0,345.0,8.0
Laos,19.0,7.0,0.0
Latvia,804.0,267.0,12.0
Lebanon,704.0,143.0,24.0
Liberia,120.0,25.0,11.0
Libya,61.0,18.0,2.0
Liechtenstein,81.0,79.0,1.0
Lithuania,1301.0,287.0,29.0
Luxembourg,3711.0,3088.0,85.0
MS Zaandam,9.0,0.0,2.0
Madagascar,123.0,62.0,0.0
Malawi,33.0,4.0,3.0
Malaysia,5742.0,3762.0,98.0
Maldives,177.0,17.0,0.0
Mali,370.0,91.0,21.0
Malta,448.0,249.0,4.0
Mauritania,7.0,6.0,1.0
Mauritius,331.0,295.0,9.0
Mexico,13842.0,7149.0,1305.0
Moldova,3304.0,825.0,94.0
Monaco,94.0,42.0,4.0
Mongolia,37.0,9.0,0.0
Montenegro,320.0,153.0,6.0
Morocco,3897.0,537.0,159.0
Mozambique,70.0,12.0,0.0
Namibia,16.0,7.0,0.0
Nepal,49.0,12.0,0.0
Netherlands,37384.0,102.0,4424.0
New Zealand,1470.0,1142.0,18.0
Nicaragua,12.0,7.0,3.0
Niger,684.0,325.0,27.0
Nigeria,1182.0,222.0,35.0
North Macedonia,1367.0,374.0,59.0
Norway,7499.0,32.0,201.0
Oman,1905.0,329.0,10.0
Pakistan,13328.0,2936.0,281.0
Panama,5538.0,338.0,159.0
Papua New Guinea,8.0,0.0,0.0
Paraguay,228.0,85.0,9.0
Peru,25331.0,7797.0,3198.0
Philippines,7294.0,792.0,494.0
Poland,11273.0,2126.0,524.0
Portugal,23392.0,1277.0,880.0
Qatar,9358.0,929.0,10.0
Romania,10635.0,2890.0,601.0
Russia,74588.0,6250.0,681.0
Rwanda,183.0,88.0,0.0
Saint Kitts and Nevis,15.0,2.0,0.0
Saint Lucia,15.0,15.0,0.0
Saint Vincent and the Grenadines,14.0,5.0,0.0
San Marino,513.0,64.0,40.0
Sao Tome and Principe,4.0,0.0,0.0
Saudi Arabia,16299.0,2215.0,136.0
Senegal,614.0,276.0,7.0
Serbia,7779.0,1152.0,151.0
Seychelles,11.0,6.0,0.0
Sierra Leone,82.0,10.0,2.0
Singapore,12693.0,1002.0,12.0
Slovakia,1373.0,386.0,17.0
Slovenia,1388.0,219.0,81.0
Somalia,390.0,8.0,18.0
South Africa,4361.0,1473.0,86.0
South Sudan,5.0,0.0,0.0
Spain,205905.0,95708.0,22902.0
Sri Lanka,460.0,118.0,7.0
Sudan,213.0,19.0,17.0
Suriname,10.0,7.0,1.0
Sweden,18563.0,0.0,2192.0
Switzerland,28894.0,21300.0,1599.0
Syria,42.0,11.0,3.0
Taiwan,429.0,275.0,6.0
Tanzania,299.0,48.0,10.0
Thailand,2907.0,2547.0,51.0
Timor-Leste,24.0,2.0,0.0
Togo,96.0,62.0,6.0
Trinidad and Tobago,115.0,53.0,8.0
Tunisia,939.0,207.0,38.0
Turkey,107773.0,25582.0,2706.0
United States of America,950663.0,100372.0,56545.0
Uganda,75.0,46.0,0.0
Ukraine,8125.0,782.0,201.0
United Arab Emirates,9813.0,1887.0,71.0
United Kingdom,155453.0,774.0,23689.0
Uruguay,596.0,370.0,14.0
Uzbekistan,1862.0,707.0,8.0
Venezuela,323.0,132.0,10.0
Vietnam,270.0,225.0,0.0
West Bank and Gaza,342.0,83.0,2.0
Yemen,1.0,0.0,0.0
Zambia,84.0,37.0,3.0
Zimbabwe,31.0,2.0,4.0
Global Total,2902007.0,816532.0,212104.0
