Region,Confirmed,Recovered/Migrated,Deceased
Tunisia,975.0,279.0,40.0
Turkey,114653.0,38809.0,2992.0
United States of America,1013614.0,115936.0,58434.0
Uganda,79.0,52.0,0.0
Ukraine,9410.0,992.0,239.0
United Arab Emirates,11380.0,2181.0,89.0
United Kingdom,162350.0,813.0,25369.0
Uruguay,625.0,394.0,15.0
Uzbekistan,1939.0,992.0,8.0
Venezuela,329.0,142.0,10.0
Vietnam,270.0,222.0,0.0
West Bank and Gaza,343.0,71.0,2.0
Western Sahara,6.0,5.0,0.0
Yemen,1.0,1.0,0.0
Zambia,95.0,42.0,3.0
Zimbabwe,32.0,5.0,4.0
Global Total,3099174.0,906142.0,220911.0
