Region,Confirmed,Recovered,Deceased
Afghanistan,63598.0,55010.0,2745.0
Albania,132032.0,125419.0,2435.0
Algeria,125485.0,87476.0,3381.0
Andorra,13555.0,13211.0,127.0
Angola,30787.0,25995.0,677.0
Antigua and Barbuda,1251.0,1182.0,42.0
Argentina,3335965.0,2973267.0,71027.0
Armenia,220927.0,208899.0,4333.0
Australia,29983.0,23499.0,910.0
Austria,637573.0,617307.0,10480.0
Azerbaijan,330269.0,315415.0,4792.0
Bahamas,11225.0,10080.0,221.0
Bahrain,202556.0,185619.0,752.0
Bangladesh,780857.0,723094.0,12181.0
Barbados,3968.0,3922.0,46.0
Belarus,377532.0,367840.0,2711.0
Belgium,1032895.0,31130.0,24723.0
Belize,12742.0,12342.0,323.0
Benin,7995.0,7652.0,101.0
Bhutan,1296.0,1177.0,1.0
Bolivia,334824.0,273403.0,13566.0
Bosnia and Herzegovina,202490.0,169455.0,9051.0
Botswana,50800.0,47477.0,774.0
Brazil,15672307.0,13856731.0,437185.0
Brunei,232.0,220.0,3.0
Bulgaria,414869.0,364682.0,17343.0
Burkina Faso,13397.0,13199.0,164.0
Burma,143097.0,132123.0,3213.0
Burundi,4347.0,773.0,6.0
Cabo Verde,28281.0,25432.0,251.0
Cambodia,22544.0,13006.0,154.0
Cameroon,74946.0,35261.0,1152.0
Canada,1334737.0,1253009.0,24983.0
Central African Republic,6866.0,5112.0,95.0
Chad,4904.0,4691.0,173.0
Chile,1292096.0,1225846.0,27934.0
China,102769.0,97543.0,4846.0
Colombia,3131410.0,2931280.0,81809.0
Comoros,3863.0,3699.0,146.0
Congo (Brazzaville),11343.0,8208.0,148.0
Congo (Kinshasa),30609.0,26603.0,776.0
Costa Rica,288626.0,224354.0,3625.0
Cote d'Ivoire,46661.0,46115.0,298.0
Croatia,350506.0,337475.0,7738.0
Cuba,125511.0,117749.0,814.0
Cyprus,72140.0,39061.0,347.0
Czech Republic,1653099.0,1596931.0,29913.0
Denmark,268040.0,252363.0,2504.0
Diamond Princess,712.0,699.0,13.0
Djibouti,11434.0,11266.0,151.0
Dominica,178.0,176.0,0.0
Dominican Republic,277919.0,234098.0,3589.0
Ecuador,410870.0,354499.0,19786.0
Egypt,246909.0,182024.0,14388.0
El Salvador,71479.0,66903.0,2191.0
Equatorial Guinea,7694.0,7279.0,112.0
Eritrea,3868.0,3676.0,14.0
Estonia,127206.0,118772.0,1223.0
Eswatini,18523.0,17803.0,672.0
Ethiopia,266646.0,220642.0,4008.0
Fiji,174.0,119.0,4.0
Finland,90508.0,46000.0,959.0
France,5942481.0,379812.0,107975.0
Gabon,23909.0,20556.0,145.0
Gambia,5957.0,5701.0,175.0
Georgia,330879.0,310859.0,4469.0
Germany,3608320.0,3323190.0,86386.0
Ghana,93333.0,91252.0,783.0
Greece,378485.0,93764.0,11471.0
Grenada,161.0,160.0,1.0
Guatemala,241528.0,222049.0,7893.0
Guinea,22830.0,20421.0,152.0
Guinea-Bissau,3746.0,3438.0,67.0
Guyana,15352.0,13085.0,344.0
Haiti,13460.0,12435.0,271.0
Vatican City,27.0,15.0,0.0
Honduras,227516.0,82920.0,5970.0
Hungary,798573.0,630976.0,29213.0
Iceland,6548.0,6456.0,29.0
India,25228996.0,21596512.0,278719.0
Indonesia,1744045.0,1606611.0,48305.0
Iran,2765485.0,2242023.0,77222.0
Iraq,1142925.0,1050687.0,15995.0
Ireland,256085.0,23364.0,4941.0
Israel,839159.0,832041.0,6389.0
Italy,4162576.0,3715389.0,124296.0
Jamaica,47396.0,23281.0,863.0
Japan,688212.0,595021.0,11645.0
Jordan,725258.0,710445.0,9276.0
Kazakhstan,414345.0,370524.0,7149.0
Kenya,165537.0,113874.0,3013.0
South Korea,132818.0,122631.0,1904.0
Kosovo,106531.0,99608.0,2231.0
Kuwait,292490.0,278824.0,1696.0
Kyrgyzstan,100732.0,93886.0,1711.0
Laos,1638.0,582.0,2.0
Latvia,128125.0,117799.0,2269.0
Lebanon,535954.0,500872.0,7631.0
Lesotho,10790.0,6427.0,320.0
Liberia,2129.0,1962.0,85.0
Libya,181714.0,168378.0,3092.0
Liechtenstein,3080.0,2887.0,57.0
Lithuania,266063.0,240079.0,4112.0
Luxembourg,69190.0,66610.0,808.0
MS Zaandam,9.0,7.0,2.0
Madagascar,40204.0,37945.0,771.0
Malawi,34216.0,32241.0,1153.0
Malaysia,474556.0,429102.0,1947.0
Maldives,45956.0,28849.0,101.0
Mali,14194.0,9290.0,511.0
Malta,30484.0,29920.0,417.0
Marshall Islands,4.0,4.0,0.0
Mauritania,18858.0,18133.0,457.0
Mauritius,1288.0,1145.0,17.0
Mexico,2382745.0,1903494.0,220493.0
Micronesia,1.0,1.0,0.0
Moldova,253954.0,245031.0,6034.0
Monaco,2494.0,2446.0,32.0
Mongolia,49175.0,42721.0,221.0
Montenegro,98898.0,95999.0,1562.0
Morocco,515023.0,503483.0,9104.0
Mozambique,70463.0,68731.0,828.0
Namibia,51390.0,48355.0,723.0
Nepal,464218.0,345523.0,5215.0
Netherlands,1633323.0,26534.0,17725.0
New Zealand,2653.0,2608.0,26.0
Nicaragua,7086.0,4225.0,184.0
Niger,5339.0,4975.0,192.0
Nigeria,165778.0,156415.0,2067.0
North Macedonia,154725.0,146043.0,5230.0
Norway,119500.0,17998.0,774.0
Oman,206297.0,191065.0,2206.0
Pakistan,882928.0,795511.0,19752.0
Panama,371145.0,359481.0,6297.0
Papua New Guinea,13707.0,11034.0,136.0
Paraguay,315547.0,262336.0,7692.0
Peru,1889052.0,1834372.0,177751.0
Philippines,1149925.0,1076428.0,19262.0
Poland,2855190.0,2605703.0,71675.0
Portugal,842381.0,803191.0,17009.0
Qatar,213485.0,207796.0,532.0
Romania,1072291.0,1026299.0,29571.0
Russia,4892938.0,4511096.0,114263.0
Rwanda,26215.0,24764.0,345.0
Saint Kitts and Nevis,45.0,45.0,0.0
Saint Lucia,4818.0,4521.0,76.0
Saint Vincent and the Grenadines,1937.0,1772.0,12.0
Samoa,3.0,2.0,0.0
San Marino,5087.0,4974.0,90.0
Sao Tome and Principe,2330.0,2275.0,35.0
Saudi Arabia,433980.0,418914.0,7174.0
Senegal,40872.0,39597.0,1127.0
Serbia,707033.0,15564.0,6696.0
Seychelles,9741.0,7826.0,30.0
Sierra Leone,4107.0,3104.0,79.0
Singapore,61613.0,61123.0,31.0
Slovakia,766253.0,255300.0,12238.0
Slovenia,249424.0,237630.0,4327.0
Solomon Islands,20.0,20.0,0.0
Somalia,14486.0,6325.0,753.0
South Africa,1615485.0,1526638.0,55260.0
South Sudan,10652.0,10462.0,115.0
Spain,3615860.0,150376.0,79432.0
Sri Lanka,145202.0,119629.0,981.0
Sudan,34889.0,27949.0,2446.0
Suriname,12107.0,10325.0,230.0
Sweden,1037126.0,0.0,14275.0
Switzerland,682160.0,317600.0,10650.0
Syria,23788.0,21073.0,1705.0
Taiwan,2017.0,1123.0,12.0
Tajikistan,13714.0,13218.0,91.0
Tanzania,509.0,183.0,21.0
Thailand,111082.0,26873.0,614.0
Timor-Leste,4589.0,2406.0,10.0
Togo,13279.0,11901.0,125.0
Trinidad and Tobago,16549.0,10370.0,294.0
Tunisia,327473.0,288935.0,11899.0
Turkey,5127548.0,4961120.0,44983.0
United States of America,33081643.0,6298082.0,585646.0
Uganda,42859.0,42429.0,347.0
Ukraine,2212635.0,1916751.0,50132.0
United Arab Emirates,547411.0,527519.0,1633.0
United Kingdom,4468580.0,15292.0,127946.0
Uruguay,242906.0,212051.0,3521.0
Uzbekistan,96893.0,92303.0,670.0
Vanuatu,4.0,3.0,1.0
Venezuela,216415.0,200381.0,2411.0
Vietnam,4359.0,2668.0,37.0
West Bank and Gaza,304074.0,293808.0,3437.0
Yemen,6568.0,3042.0,1294.0
Zambia,92460.0,90862.0,1261.0
Zimbabwe,38572.0,36349.0,1582.0
Global Total,164115095.0,106153706.0,3505210.0
