Region,Confirmed,Recovered,Deceased
Australia,15.0,8.0,0.0
Belgium,1.0,0.0,0.0
Cambodia,1.0,1.0,0.0
Canada,7.0,1.0,0.0
China,70513.0,10755.0,1766.0
Diamond Princess,355.0,0.0,0.0
Egypt,1.0,0.0,0.0
Finland,1.0,1.0,0.0
France,12.0,4.0,1.0
Germany,16.0,1.0,0.0
India,3.0,3.0,0.0
Italy,3.0,0.0,0.0
Japan,60.0,12.0,1.0
South Korea,29.0,9.0,0.0
Malaysia,22.0,7.0,0.0
Nepal,1.0,1.0,0.0
Philippines,3.0,1.0,1.0
Russia,2.0,2.0,0.0
Singapore,75.0,18.0,0.0
Spain,2.0,2.0,0.0
Sri Lanka,1.0,1.0,0.0
Sweden,1.0,0.0,0.0
Taiwan,20.0,2.0,1.0
Thailand,34.0,15.0,0.0
United States of America,14.0,3.0,0.0
United Arab Emirates,9.0,4.0,0.0
United Kingdom,18.0,8.0,0.0
Vietnam,16.0,7.0,0.0
Global Total,71235.0,10866.0,1770.0
