Region,Confirmed,Recovered/Migrated,Deceased
Afghanistan,1.0,0.0,0.0
Algeria,1.0,0.0,0.0
Australia,15.0,11.0,0.0
Austria,2.0,0.0,0.0
Bahrain,33.0,0.0,0.0
Belgium,1.0,1.0,0.0
Brazil,1.0,0.0,0.0
Cambodia,1.0,1.0,0.0
Canada,11.0,3.0,0.0
China,78166.0,30084.0,2717.0
Croatia,3.0,0.0,0.0
Diamond Princess,705.0,10.0,4.0
Egypt,1.0,0.0,0.0
Finland,2.0,1.0,0.0
France,18.0,11.0,2.0
Georgia,1.0,0.0,0.0
Germany,27.0,15.0,0.0
Greece,1.0,0.0,0.0
India,3.0,3.0,0.0
Iran,139.0,49.0,19.0
Iraq,5.0,0.0,0.0
Israel,2.0,0.0,0.0
Italy,453.0,3.0,12.0
Japan,189.0,22.0,2.0
South Korea,1261.0,22.0,12.0
Kuwait,26.0,0.0,0.0
Lebanon,2.0,0.0,0.0
Malaysia,22.0,18.0,0.0
Nepal,1.0,1.0,0.0
North Macedonia,1.0,0.0,0.0
Norway,1.0,0.0,0.0
Oman,4.0,0.0,0.0
Pakistan,2.0,0.0,0.0
Philippines,3.0,1.0,1.0
Romania,1.0,0.0,0.0
Russia,2.0,2.0,0.0
Singapore,93.0,62.0,0.0
Spain,13.0,2.0,0.0
Sri Lanka,1.0,1.0,0.0
Sweden,2.0,0.0,0.0
Switzerland,1.0,0.0,0.0
Taiwan,32.0,5.0,1.0
Thailand,40.0,22.0,0.0
United States of America,15.0,6.0,0.0
United Arab Emirates,13.0,4.0,0.0
United Kingdom,37.0,8.0,0.0
Vietnam,16.0,16.0,0.0
Global Total,81370.0,30384.0,2770.0
