Region,Confirmed,Recovered/Migrated,Deceased
Australia,15.0,8.0,0.0
Belgium,1.0,0.0,0.0
Cambodia,1.0,1.0,0.0
Canada,7.0,1.0,0.0
China,66358.0,7977.0,1521.0
Diamond Princess,218.0,0.0,0.0
Egypt,1.0,0.0,0.0
Finland,1.0,1.0,0.0
France,11.0,2.0,0.0
Germany,16.0,1.0,0.0
India,3.0,0.0,0.0
Italy,3.0,0.0,0.0
Japan,29.0,9.0,1.0
South Korea,28.0,7.0,0.0
Malaysia,19.0,3.0,0.0
Nepal,1.0,1.0,0.0
Philippines,3.0,1.0,1.0
Russia,2.0,2.0,0.0
Singapore,67.0,17.0,0.0
Spain,2.0,0.0,0.0
Sri Lanka,1.0,1.0,0.0
Sweden,1.0,0.0,0.0
Taiwan,18.0,2.0,0.0
Thailand,33.0,12.0,0.0
United States of America,13.0,3.0,0.0
United Arab Emirates,8.0,1.0,0.0
United Kingdom,18.0,1.0,0.0
Vietnam,16.0,7.0,0.0
Global Total,66894.0,8058.0,1523.0
