Region,Confirmed,Recovered/Migrated,Deceased
Afghanistan,17270.0,1522.0,298.0
Albania,1184.0,898.0,33.0
Algeria,9733.0,6218.0,673.0
Andorra,851.0,735.0,51.0
Angola,86.0,18.0,4.0
Antigua and Barbuda,26.0,20.0,3.0
Argentina,19268.0,5896.0,583.0
Armenia,10524.0,3454.0,170.0
Australia,7240.0,6648.0,102.0
Austria,16771.0,15672.0,670.0
Azerbaijan,6260.0,3665.0,76.0
Bahamas,102.0,55.0,11.0
Bahrain,12815.0,7410.0,20.0
Bangladesh,55140.0,11590.0,746.0
Barbados,92.0,81.0,7.0
Belarus,45116.0,20171.0,248.0
Belgium,58685.0,15959.0,9522.0
Belize,18.0,16.0,2.0
Benin,244.0,148.0,3.0
Bhutan,47.0,9.0,0.0
Bolivia,11638.0,1507.0,400.0
Bosnia and Herzegovina,2551.0,1939.0,157.0
Botswana,40.0,23.0,1.0
Brazil,584016.0,238617.0,32548.0
Brunei,141.0,138.0,2.0
Bulgaria,2560.0,1206.0,146.0
Burkina Faso,884.0,753.0,53.0
Burma,233.0,145.0,6.0
Burundi,63.0,33.0,1.0
Cabo Verde,477.0,238.0,5.0
Cambodia,125.0,123.0,0.0
Cameroon,6585.0,3676.0,200.0
Canada,94641.0,51506.0,8062.0
Central African Republic,1173.0,23.0,4.0
Chad,820.0,590.0,66.0
Chile,137490.0,90748.0,1275.0
China,84160.0,79404.0,4638.0
Colombia,33354.0,11171.0,1045.0
Comoros,132.0,27.0,2.0
Congo (Brazzaville),611.0,179.0,20.0
Congo (Kinshasa),3495.0,492.0,75.0
Costa Rica,1157.0,685.0,10.0
Cote d'Ivoire,3110.0,1530.0,35.0
Croatia,2246.0,2095.0,103.0
Cuba,2107.0,1830.0,83.0
Cyprus,958.0,790.0,17.0
Czech Republic,9438.0,6749.0,325.0
Denmark,11971.0,10750.0,580.0
Diamond Princess,712.0,651.0,13.0
Djibouti,3935.0,1636.0,26.0
Dominica,18.0,16.0,0.0
Dominican Republic,18040.0,11224.0,516.0
Ecuador,40966.0,20019.0,3486.0
Egypt,28615.0,7350.0,1088.0
El Salvador,2705.0,1186.0,51.0
Equatorial Guinea,1306.0,200.0,12.0
Eritrea,39.0,39.0,0.0
Estonia,1880.0,1650.0,69.0
Eswatini,295.0,201.0,3.0
Ethiopia,1486.0,246.0,17.0
Fiji,18.0,15.0,0.0
Finland,6911.0,5500.0,321.0
France,187509.0,69573.0,29024.0
Gabon,2902.0,801.0,20.0
Gambia,26.0,20.0,1.0
Georgia,800.0,640.0,13.0
Germany,184121.0,167453.0,8602.0
Ghana,8548.0,3132.0,38.0
Greece,2937.0,1374.0,179.0
Grenada,23.0,18.0,0.0
Guatemala,5760.0,929.0,143.0
Guinea,3933.0,2332.0,23.0
Guinea-Bissau,1339.0,53.0,8.0
Guyana,153.0,70.0,12.0
Haiti,2226.0,24.0,45.0
Vatican City,12.0,2.0,0.0
Honduras,5690.0,617.0,234.0
Hungary,3931.0,2190.0,534.0
Iceland,1806.0,1794.0,10.0
India,216824.0,104071.0,6088.0
Indonesia,28233.0,8406.0,1698.0
Iran,160696.0,125206.0,8012.0
Iraq,8168.0,4095.0,256.0
Ireland,25111.0,22698.0,1659.0
Israel,17397.0,14851.0,293.0
Italy,233836.0,160938.0,33601.0
Jamaica,591.0,361.0,10.0
Japan,16867.0,14702.0,905.0
Jordan,757.0,561.0,9.0
Kazakhstan,12067.0,6240.0,48.0
Kenya,2216.0,553.0,74.0
South Korea,11629.0,10499.0,273.0
Kosovo,1123.0,847.0,30.0
Kuwait,29359.0,15750.0,230.0
Kyrgyzstan,1871.0,1265.0,20.0
Laos,19.0,18.0,0.0
Latvia,1079.0,760.0,24.0
Lebanon,1256.0,724.0,27.0
Lesotho,4.0,2.0,0.0
Liberia,316.0,169.0,28.0
Libya,196.0,52.0,5.0
Liechtenstein,82.0,81.0,1.0
Lithuania,1679.0,1294.0,55.0
Luxembourg,4024.0,3861.0,110.0
MS Zaandam,9.0,0.0,2.0
Madagascar,908.0,195.0,6.0
Malawi,369.0,51.0,4.0
Malaysia,7970.0,6531.0,115.0
Maldives,1850.0,644.0,7.0
Mali,1386.0,788.0,79.0
Malta,622.0,562.0,9.0
Mauritania,745.0,57.0,34.0
Mauritius,335.0,322.0,10.0
Mexico,101238.0,72680.0,11729.0
Moldova,8795.0,4863.0,310.0
Monaco,99.0,90.0,4.0
Mongolia,185.0,44.0,0.0
Montenegro,324.0,315.0,9.0
Morocco,7922.0,6866.0,206.0
Mozambique,316.0,109.0,2.0
Namibia,25.0,16.0,0.0
Nepal,2300.0,278.0,9.0
Netherlands,46939.0,180.0,5996.0
New Zealand,1504.0,1481.0,22.0
Nicaragua,1118.0,370.0,46.0
Niger,961.0,857.0,65.0
Nigeria,11166.0,3329.0,315.0
North Macedonia,2492.0,1605.0,145.0
Norway,8477.0,7727.0,237.0
Oman,13537.0,2845.0,67.0
Pakistan,85264.0,30128.0,1770.0
Panama,14609.0,9519.0,357.0
Papua New Guinea,8.0,8.0,0.0
Paraguay,1070.0,511.0,11.0
Peru,178914.0,72319.0,4894.0
Philippines,19748.0,4153.0,974.0
Poland,24687.0,12014.0,1115.0
Portugal,33261.0,20079.0,1447.0
Qatar,62160.0,37542.0,45.0
Romania,19669.0,13800.0,1296.0
Russia,431715.0,195559.0,5208.0
Rwanda,397.0,271.0,2.0
Saint Kitts and Nevis,15.0,15.0,0.0
Saint Lucia,18.0,18.0,0.0
Saint Vincent and the Grenadines,26.0,15.0,0.0
San Marino,674.0,391.0,42.0
Sao Tome and Principe,484.0,68.0,12.0
Saudi Arabia,91182.0,68159.0,579.0
Senegal,3932.0,2063.0,45.0
Serbia,11523.0,6852.0,245.0
Seychelles,11.0,11.0,0.0
Sierra Leone,909.0,491.0,47.0
Singapore,36405.0,23582.0,24.0
Slovakia,1525.0,1375.0,28.0
Slovenia,1477.0,1358.0,109.0
Somalia,2146.0,406.0,79.0
South Africa,37525.0,19682.0,792.0
South Sudan,994.0,6.0,10.0
Spain,240326.0,150376.0,27128.0
Sri Lanka,1749.0,836.0,11.0
Sudan,5310.0,1711.0,314.0
Suriname,74.0,9.0,1.0
Sweden,41256.0,0.0,4542.0
Switzerland,30893.0,28600.0,1921.0
Syria,123.0,53.0,6.0
Taiwan,443.0,428.0,7.0
Tajikistan,4191.0,2347.0,48.0
Tanzania,509.0,183.0,21.0
Thailand,3084.0,2968.0,58.0
Timor-Leste,24.0,24.0,0.0
Togo,452.0,236.0,13.0
Trinidad and Tobago,117.0,108.0,8.0
Tunisia,1087.0,965.0,49.0
Turkey,166422.0,130852.0,4609.0
United States of America,1857495.0,479258.0,110570.0
Uganda,507.0,82.0,0.0
Ukraine,25385.0,10838.0,742.0
United Arab Emirates,36359.0,19153.0,270.0
United Kingdom,261802.0,1212.0,38117.0
Uruguay,828.0,698.0,23.0
Uzbekistan,3843.0,3014.0,16.0
Venezuela,1952.0,334.0,20.0
Vietnam,328.0,302.0,0.0
West Bank and Gaza,457.0,372.0,3.0
Yemen,419.0,17.0,95.0
Zambia,1089.0,912.0,7.0
Zimbabwe,222.0,29.0,4.0
Global Total,6520376.0,2875228.0,388187.0
