Region,Confirmed,Recovered,Deceased
Afghanistan,240.0,10.0,4.0
Albania,277.0,76.0,16.0
Algeria,986.0,61.0,86.0
Andorra,428.0,10.0,15.0
Angola,8.0,1.0,2.0
Antigua and Barbuda,9.0,0.0,0.0
Argentina,1133.0,256.0,36.0
Armenia,663.0,33.0,7.0
Australia,5116.0,520.0,24.0
Austria,11129.0,1749.0,158.0
Azerbaijan,400.0,26.0,5.0
Bahamas,24.0,1.0,1.0
Bahrain,643.0,381.0,4.0
Bangladesh,56.0,25.0,6.0
Barbados,46.0,0.0,0.0
Belarus,304.0,53.0,4.0
Belgium,15348.0,2495.0,1011.0
Belize,3.0,0.0,0.0
Benin,13.0,1.0,0.0
Bhutan,5.0,1.0,0.0
Bolivia,123.0,1.0,8.0
Bosnia and Herzegovina,533.0,20.0,16.0
Botswana,4.0,0.0,1.0
Brazil,8044.0,127.0,324.0
Brunei,133.0,56.0,1.0
Bulgaria,457.0,25.0,10.0
Burkina Faso,288.0,50.0,16.0
Burma,20.0,0.0,1.0
Burundi,3.0,0.0,0.0
Cabo Verde,6.0,0.0,1.0
Cambodia,110.0,34.0,0.0
Cameroon,306.0,10.0,7.0
Canada,12219.0,1735.0,224.0
Central African Republic,3.0,0.0,0.0
Chad,8.0,0.0,0.0
Chile,3510.0,335.0,18.0
China,82432.0,76565.0,3322.0
Colombia,1161.0,55.0,19.0
Congo (Brazzaville),22.0,2.0,2.0
Congo (Kinshasa),134.0,3.0,13.0
Costa Rica,396.0,6.0,2.0
Cote d'Ivoire,194.0,15.0,1.0
Croatia,1011.0,88.0,7.0
Cuba,233.0,13.0,6.0
Cyprus,356.0,28.0,10.0
Czech Republic,3858.0,67.0,44.0
Denmark,3573.0,1172.0,123.0
Diamond Princess,712.0,619.0,11.0
Djibouti,40.0,0.0,0.0
Dominica,12.0,0.0,0.0
Dominican Republic,1380.0,16.0,60.0
Ecuador,3163.0,65.0,120.0
Egypt,865.0,201.0,58.0
El Salvador,41.0,0.0,2.0
Equatorial Guinea,15.0,1.0,0.0
Eritrea,22.0,0.0,0.0
Estonia,858.0,45.0,11.0
Eswatini,9.0,0.0,0.0
Ethiopia,29.0,3.0,0.0
Fiji,7.0,0.0,0.0
Finland,1518.0,300.0,19.0
France,59228.0,12548.0,5387.0
Gabon,21.0,0.0,1.0
Gambia,4.0,2.0,1.0
Georgia,134.0,26.0,0.0
Germany,84794.0,22440.0,1107.0
Ghana,204.0,31.0,5.0
Greece,1544.0,61.0,53.0
Grenada,10.0,0.0,0.0
Guatemala,47.0,12.0,1.0
Guinea,52.0,0.0,0.0
Guinea-Bissau,9.0,0.0,0.0
Guyana,19.0,0.0,4.0
Haiti,16.0,1.0,0.0
Vatican City,7.0,0.0,0.0
Honduras,219.0,3.0,14.0
Hungary,585.0,42.0,21.0
Iceland,1319.0,284.0,4.0
India,2543.0,191.0,72.0
Indonesia,1790.0,112.0,170.0
Iran,50468.0,16711.0,3160.0
Iraq,772.0,202.0,54.0
Ireland,3849.0,5.0,98.0
Israel,7132.0,597.0,38.0
Italy,115242.0,18278.0,13915.0
Jamaica,47.0,2.0,3.0
Japan,2818.0,472.0,75.0
Jordan,299.0,45.0,5.0
Kazakhstan,435.0,27.0,3.0
Kenya,110.0,4.0,3.0
South Korea,9976.0,5828.0,169.0
Kosovo,125.0,10.0,1.0
Kuwait,342.0,81.0,0.0
Kyrgyzstan,116.0,5.0,0.0
Laos,10.0,0.0,0.0
Latvia,458.0,31.0,0.0
Lebanon,494.0,46.0,16.0
Liberia,6.0,0.0,0.0
Libya,11.0,0.0,1.0
Liechtenstein,75.0,50.0,0.0
Lithuania,579.0,0.0,6.0
Luxembourg,2487.0,80.0,30.0
MS Zaandam,9.0,0.0,2.0
Madagascar,59.0,0.0,0.0
Malawi,3.0,0.0,0.0
Malaysia,3116.0,767.0,50.0
Maldives,19.0,13.0,0.0
Mali,36.0,0.0,3.0
Malta,196.0,2.0,0.0
Mauritania,6.0,2.0,1.0
Mauritius,169.0,0.0,7.0
Mexico,1510.0,35.0,50.0
Moldova,505.0,23.0,6.0
Monaco,60.0,2.0,1.0
Mongolia,14.0,2.0,0.0
Montenegro,144.0,0.0,2.0
Morocco,708.0,31.0,44.0
Mozambique,10.0,0.0,0.0
Namibia,14.0,3.0,0.0
Nepal,6.0,1.0,0.0
Netherlands,14788.0,10.0,1341.0
New Zealand,797.0,92.0,1.0
Nicaragua,5.0,0.0,1.0
Niger,98.0,0.0,5.0
Nigeria,184.0,20.0,2.0
North Macedonia,384.0,17.0,11.0
Norway,5147.0,32.0,50.0
Oman,231.0,57.0,1.0
Pakistan,2686.0,126.0,40.0
Panama,1317.0,9.0,32.0
Papua New Guinea,1.0,0.0,0.0
Paraguay,77.0,2.0,3.0
Peru,1414.0,537.0,183.0
Philippines,2633.0,51.0,107.0
Poland,2946.0,56.0,57.0
Portugal,9034.0,68.0,209.0
Qatar,949.0,72.0,3.0
Romania,2738.0,267.0,115.0
Russia,3548.0,235.0,30.0
Rwanda,84.0,0.0,0.0
Saint Kitts and Nevis,9.0,0.0,0.0
Saint Lucia,13.0,1.0,0.0
Saint Vincent and the Grenadines,2.0,1.0,0.0
San Marino,245.0,21.0,30.0
Saudi Arabia,1885.0,328.0,21.0
Senegal,195.0,55.0,1.0
Serbia,1171.0,0.0,31.0
Seychelles,10.0,0.0,0.0
Sierra Leone,2.0,0.0,0.0
Singapore,1049.0,266.0,4.0
Slovakia,426.0,5.0,1.0
Slovenia,897.0,70.0,17.0
Somalia,5.0,1.0,0.0
South Africa,1462.0,50.0,5.0
Spain,112065.0,26743.0,10348.0
Sri Lanka,151.0,21.0,4.0
Sudan,7.0,2.0,2.0
Suriname,10.0,0.0,0.0
Sweden,5874.0,0.0,535.0
Switzerland,18827.0,4013.0,614.0
Syria,16.0,0.0,2.0
Taiwan,339.0,45.0,5.0
Tanzania,20.0,2.0,1.0
Thailand,1875.0,505.0,15.0
Timor-Leste,1.0,0.0,0.0
Togo,39.0,17.0,2.0
Trinidad and Tobago,94.0,1.0,5.0
Tunisia,455.0,5.0,14.0
Turkey,18135.0,415.0,356.0
United States of America,256809.0,9001.0,8151.0
Uganda,45.0,0.0,0.0
Ukraine,897.0,19.0,22.0
United Arab Emirates,1024.0,96.0,8.0
United Kingdom,48718.0,192.0,3787.0
Uruguay,369.0,68.0,4.0
Uzbekistan,205.0,25.0,2.0
Venezuela,146.0,43.0,5.0
Vietnam,233.0,75.0,0.0
West Bank and Gaza,161.0,18.0,1.0
Zambia,39.0,0.0,1.0
Zimbabwe,9.0,0.0,1.0
Global Total,1042614.0,210219.0,56605.0
