Region,Confirmed,Recovered/Migrated,Deceased
Afghanistan,39703.0,33064.0,1475.0
Albania,15231.0,9406.0,416.0
Algeria,52940.0,37170.0,1795.0
Andorra,2696.0,1814.0,55.0
Angola,6246.0,2716.0,218.0
Antigua and Barbuda,111.0,97.0,3.0
Argentina,883882.0,709464.0,23581.0
Armenia,55736.0,45771.0,1016.0
Australia,27263.0,24987.0,898.0
Austria,54423.0,42829.0,852.0
Azerbaijan,41752.0,39235.0,608.0
Bahamas,5023.0,2815.0,106.0
Bahrain,75287.0,70808.0,273.0
Bangladesh,377073.0,291365.0,5500.0
Barbados,206.0,183.0,7.0
Belarus,82471.0,76543.0,885.0
Belgium,156931.0,20202.0,10175.0
Belize,2427.0,1487.0,35.0
Benin,2411.0,1973.0,41.0
Bhutan,306.0,287.0,0.0
Bolivia,138463.0,100786.0,8292.0
Bosnia and Herzegovina,30345.0,23370.0,927.0
Botswana,3219.0,834.0,18.0
Brazil,5082637.0,4502854.0,150198.0
Brunei,146.0,143.0,3.0
Bulgaria,24319.0,15818.0,891.0
Burkina Faso,2271.0,1542.0,61.0
Burma,26064.0,7050.0,598.0
Burundi,517.0,472.0,1.0
Cabo Verde,6913.0,5970.0,74.0
Cambodia,283.0,277.0,0.0
Cameroon,21203.0,20117.0,423.0
Canada,182767.0,153857.0,9694.0
Central African Republic,4854.0,1924.0,62.0
Chad,1291.0,1103.0,92.0
Chile,479595.0,452054.0,13272.0
China,90778.0,85658.0,4739.0
Colombia,902747.0,783131.0,27660.0
Comoros,495.0,475.0,7.0
Congo (Brazzaville),5118.0,3887.0,90.0
Congo (Kinshasa),10841.0,10242.0,276.0
Costa Rica,87439.0,52669.0,1076.0
Cote d'Ivoire,20128.0,19752.0,120.0
Croatia,19932.0,16953.0,317.0
Cuba,5948.0,5440.0,123.0
Cyprus,1986.0,1444.0,25.0
Czech Republic,114005.0,54909.0,948.0
Denmark,32575.0,26462.0,667.0
Diamond Princess,712.0,659.0,13.0
Djibouti,5423.0,5355.0,61.0
Dominica,32.0,24.0,0.0
Dominican Republic,118014.0,93627.0,2167.0
Ecuador,146828.0,120511.0,12188.0
Egypt,104387.0,97643.0,6040.0
El Salvador,29951.0,24995.0,887.0
Equatorial Guinea,5063.0,4894.0,83.0
Eritrea,414.0,372.0,0.0
Estonia,3846.0,2946.0,68.0
Eswatini,5660.0,5282.0,113.0
Ethiopia,83429.0,37683.0,1277.0
Fiji,32.0,28.0,2.0
Finland,11849.0,8500.0,346.0
France,761441.0,103232.0,32684.0
Gabon,8835.0,8189.0,54.0
Gambia,3628.0,2540.0,117.0
Georgia,11271.0,6119.0,78.0
Germany,323463.0,274934.0,9620.0
Ghana,47005.0,46398.0,306.0
Greece,22078.0,13199.0,436.0
Grenada,24.0,24.0,0.0
Guatemala,97544.0,86046.0,3365.0
Guinea,10996.0,10304.0,69.0
Guinea-Bissau,2385.0,1728.0,40.0
Guyana,3405.0,2304.0,102.0
Haiti,8854.0,7104.0,230.0
Vatican City,12.0,12.0,0.0
Honduras,83146.0,31931.0,2504.0
Hungary,36596.0,9683.0,933.0
Iceland,3460.0,2466.0,10.0
India,7053806.0,6077976.0,108334.0
Indonesia,328952.0,251481.0,11765.0
Iran,496253.0,403950.0,28293.0
Iraq,400124.0,332330.0,9790.0
Ireland,41714.0,23364.0,1824.0
Israel,289974.0,233910.0,1968.0
Italy,349494.0,238525.0,36140.0
Jamaica,7559.0,3142.0,138.0
Japan,88962.0,80798.0,1626.0
Jordan,23998.0,6045.0,181.0
Kazakhstan,143280.0,131552.0,2111.0
Kenya,41158.0,31876.0,760.0
South Korea,24606.0,22693.0,432.0
Kosovo,16130.0,14282.0,645.0
Kuwait,110568.0,102722.0,655.0
Kyrgyzstan,48924.0,44227.0,1082.0
Laos,23.0,22.0,0.0
